TERM	SYMBOL	CATEGORY	LIST
NF-kappa B	CCL13		Manuela
Chemokine	CCL14		Manuela
Cytokine-cytokine receptor interaction	CCL14		Manuela
Chemokine	CCL15		Manuela
Cytokine-cytokine receptor interaction	CCL15		Manuela
Chemokine	CCL16		Manuela
Cytokine-cytokine receptor interaction	CCL16		Manuela
Chemokine	CCL17		Manuela
Cytokine-cytokine receptor interaction	CCL17		Manuela
Chemokine	CCL18		Manuela
Cytokine-cytokine receptor interaction	CCL18		Manuela
Chemokine	CCL19		Manuela
Cytokine-cytokine receptor interaction	CCL19		Manuela
NF-kappa B	CCL19		Manuela
Chemokine	CCL2		Manuela
Cytokine-cytokine receptor interaction	CCL2		Manuela
TNF	CCL2		Manuela
Chemokine	CCL20		Manuela
Cytokine-cytokine receptor interaction	CCL20		Manuela
TNF	CCL20		Manuela
Chemokine	CCL21		Manuela
Cytokine-cytokine receptor interaction	CCL21		Manuela
NF-kappa B	CCL21		Manuela
Chemokine	CCL22		Manuela
Cytokine-cytokine receptor interaction	CCL22		Manuela
Chemokine	CCL23		Manuela
Cytokine-cytokine receptor interaction	CCL23		Manuela
Chemokine	CCL24		Manuela
Cytokine-cytokine receptor interaction	CCL24		Manuela
Chemokine	CCL25		Manuela
Cytokine-cytokine receptor interaction	CCL25		Manuela
Chemokine	CCL26		Manuela
Cytokine-cytokine receptor interaction	CCL26		Manuela
Chemokine	CCL27		Manuela
Cytokine-cytokine receptor interaction	CCL27		Manuela
Chemokine	CCL28		Manuela
Cytokine-cytokine receptor interaction	CCL28		Manuela
Chemokine	CCL3		Manuela
Cytokine-cytokine receptor interaction	CCL3		Manuela
Chemokine	CCL3L1		Manuela
Cytokine-cytokine receptor interaction	CCL3L1		Manuela
Chemokine	CCL3L3		Manuela
Cytokine-cytokine receptor interaction	CCL3L3		Manuela
Chemokine	CCL4		Manuela
Cytokine-cytokine receptor interaction	CCL4		Manuela
NF-kappa B	CCL4		Manuela
Chemokine	CCL4L2		Manuela
Cytokine-cytokine receptor interaction	CCL4L2		Manuela
NF-kappa B	CCL4L2		Manuela
Chemokine	CCL5		Manuela
Cytokine-cytokine receptor interaction	CCL5		Manuela
TNF	CCL5		Manuela
Chemokine	CCL7		Manuela
Cytokine-cytokine receptor interaction	CCL7		Manuela
Chemokine	CCL8		Manuela
Cytokine-cytokine receptor interaction	CCL8		Manuela
AMPK	CCNA1		Manuela
Cell cycle	CCNA1		Manuela
AMPK	CCNA2		Manuela
Cell cycle	CCNA2		Manuela
Cell cycle	CCNB1		Manuela
FoxO	CCNB1		Manuela
p53	CCNB1		Manuela
Cell cycle	CCNB2		Manuela
FoxO	CCNB2		Manuela
p53	CCNB2		Manuela
Cell cycle	CCNB3		Manuela
FoxO	CCNB3		Manuela
AMPK	CCND1		Manuela
Apelin	CCND1		Manuela
Cell cycle	CCND1		Manuela
FoxO	CCND1		Manuela
Hedgehog	CCND1		Manuela
Hippo	CCND1		Manuela
JAK-STAT	CCND1		Manuela
p53	CCND1		Manuela
PI3K-Akt	CCND1		Manuela
Thyroid hormone	CCND1		Manuela
Wnt	CCND1		Manuela
Cell cycle	CCND2		Manuela
FoxO	CCND2		Manuela
Hedgehog	CCND2		Manuela
Hippo	CCND2		Manuela
JAK-STAT	CCND2		Manuela
p53	CCND2		Manuela
PI3K-Akt	CCND2		Manuela
Wnt	CCND2		Manuela
Cell cycle	CCND3		Manuela
Hippo	CCND3		Manuela
JAK-STAT	CCND3		Manuela
p53	CCND3		Manuela
PI3K-Akt	CCND3		Manuela
Wnt	CCND3		Manuela
Cell cycle	CCNE1		Manuela
p53	CCNE1		Manuela
PI3K-Akt	CCNE1		Manuela
Cell cycle	CCNE2		Manuela
