TERM	SYMBOL	CATEGORY	LIST
CLL	MAPK1		Compendium
CLL	MED12		Compendium
CLL	MGA		Compendium
CLL	MYD88		Compendium
CLL	NFKBIE		Compendium
CLL	NOTCH1		Compendium
CLL	NRAS		Compendium
CLL	NXF1		Compendium
CLL	POT1		Compendium
CLL	PTPN11		Compendium
CLL	RIPK1		Compendium
CLL	SALL4		Compendium
CLL	SETD2		Compendium
CLL	SETDB1		Compendium
CLL	SF3B1		Compendium
CLL	SPEN		Compendium
CLL	TP53		Compendium
CLL	XPO1		Compendium
CM	AFF1		Compendium
CM	APC		Compendium
CM	ARID2		Compendium
CM	ATR		Compendium
CM	BAP1		Compendium
CM	BCL2L12		Compendium
CM	BCLAF1		Compendium
CM	BRAF		Compendium
CM	BRCA2		Compendium
CM	BRD7		Compendium
CM	CDH11		Compendium
CM	CDK12		Compendium
CM	CDK4		Compendium
CM	CDKN2A		Compendium
CM	CNOT9		Compendium
CM	COL1A1		Compendium
CM	CRNKL1		Compendium
CM	CUX1		Compendium
CM	CYP2C8		Compendium
CM	DDX3X		Compendium
CM	ELL		Compendium
CM	EPHA3		Compendium
CM	ERCC3		Compendium
CM	FANCD2		Compendium
CM	FAT3		Compendium
CM	FAT4		Compendium
CM	GNA11		Compendium
CM	GNAQ		Compendium
CM	HLA-A		Compendium
CM	HRAS		Compendium
CM	HSP90AB1		Compendium
CM	IDH1		Compendium
CM	IKZF1		Compendium
CM	KDM5A		Compendium
CM	KIT		Compendium
CM	KMT2A		Compendium
CM	KMT2C		Compendium
CM	KRAS		Compendium
CM	LRP1B		Compendium
CM	MAP2K1		Compendium
CM	MECOM		Compendium
CM	MLLT3		Compendium
CM	NBEA		Compendium
CM	NF1		Compendium
CM	NFKBIE		Compendium
CM	NONO		Compendium
CM	NRAS		Compendium
CM	PBRM1		Compendium
CM	PDCD1LG2		Compendium
CM	PIK3CA		Compendium
CM	POLQ		Compendium
CM	POT1		Compendium
CM	PPP6C		Compendium
CM	PREX2		Compendium
CM	PRKCB		Compendium
CM	PTEN		Compendium
CM	PTPN6		Compendium
CM	PTPRB		Compendium
CM	PTPRC		Compendium
CM	PTPRD		Compendium
CM	QKI		Compendium
CM	RAC1		Compendium
