TERM	SYMBOL	CATEGORY	LIST
Regulatory T cell	PTGIR	Adaptive	Immunome
Regulatory T cell	ST8SIA4	Adaptive	Immunome
Regulatory T cell	STAB1	Adaptive	Immunome
T follicular helper cell	B3GAT1	Adaptive	Immunome
T follicular helper cell	CDK5R1	Adaptive	Immunome
T follicular helper cell	PDCD1	Adaptive	Immunome
T follicular helper cell	BCL6	Adaptive	Immunome
T follicular helper cell	CD200	Adaptive	Immunome
T follicular helper cell	CD83	Adaptive	Immunome
T follicular helper cell	CD84	Adaptive	Immunome
T follicular helper cell	FGF2	Adaptive	Immunome
T follicular helper cell	GPR18	Adaptive	Immunome
T follicular helper cell	CEBPA	Adaptive	Immunome
T follicular helper cell	CECR1	Adaptive	Immunome
T follicular helper cell	CLEC10A	Adaptive	Immunome
T follicular helper cell	CLEC4A	Adaptive	Immunome
T follicular helper cell	CSF1R	Adaptive	Immunome
T follicular helper cell	CTSS	Adaptive	Immunome
T follicular helper cell	DMN	Adaptive	Immunome
T follicular helper cell	DPP4	Adaptive	Immunome
T follicular helper cell	LRRC32	Adaptive	Immunome
T follicular helper cell	MC5R	Adaptive	Immunome
T follicular helper cell	MICA	Adaptive	Immunome
T follicular helper cell	NCAM1	Adaptive	Immunome
T follicular helper cell	NCR2	Adaptive	Immunome
T follicular helper cell	NRP1	Adaptive	Immunome
T follicular helper cell	PDCD1LG2	Adaptive	Immunome
T follicular helper cell	PDCD6	Adaptive	Immunome
T follicular helper cell	PRDX1	Adaptive	Immunome
T follicular helper cell	RAE1	Adaptive	Immunome
T follicular helper cell	RAET1E	Adaptive	Immunome
T follicular helper cell	SIGLEC7	Adaptive	Immunome
T follicular helper cell	SIGLEC9	Adaptive	Immunome
T follicular helper cell	TYRO3	Adaptive	Immunome
T follicular helper cell	CHST12	Adaptive	Immunome
T follicular helper cell	CLIC3	Adaptive	Immunome
T follicular helper cell	IVNS1ABP	Adaptive	Immunome
T follicular helper cell	KIR2DL2	Adaptive	Immunome
T follicular helper cell	LGMN	Adaptive	Immunome
Type 17 T helper cell	IL17A	Adaptive	Immunome
Type 17 T helper cell	IL17RA	Adaptive	Immunome
Type 17 T helper cell	C2CD4A	Adaptive	Immunome
Type 17 T helper cell	C2CD4B	Adaptive	Immunome
Type 17 T helper cell	CA2	Adaptive	Immunome
Type 17 T helper cell	CCDC65	Adaptive	Immunome
Type 17 T helper cell	CEACAM3	Adaptive	Immunome
Type 17 T helper cell	IL17C	Adaptive	Immunome
Type 17 T helper cell	IL17F	Adaptive	Immunome
Type 17 T helper cell	IL17RC	Adaptive	Immunome
Type 17 T helper cell	IL17RE	Adaptive	Immunome
Type 17 T helper cell	IL23A	Adaptive	Immunome
Type 17 T helper cell	ILDR1	Adaptive	Immunome
Type 17 T helper cell	LONRF3	Adaptive	Immunome
Type 17 T helper cell	SH2D6	Adaptive	Immunome
Type 17 T helper cell	TNIP2	Adaptive	Immunome
Type 17 T helper cell	ABCA1	Adaptive	Immunome
Type 17 T helper cell	ABCB1	Adaptive	Immunome
Type 17 T helper cell	ADAMTS12	Adaptive	Immunome
Type 17 T helper cell	ANK1	Adaptive	Immunome
Type 17 T helper cell	ANKRD22	Adaptive	Immunome
Type 17 T helper cell	B3GALT2	Adaptive	Immunome
Type 17 T helper cell	CAMTA1	Adaptive	Immunome
Type 17 T helper cell	CCR9	Adaptive	Immunome
Type 17 T helper cell	CD40	Adaptive	Immunome
Type 17 T helper cell	GPR44	Adaptive	Immunome
Type 17 T helper cell	IFT80	Adaptive	Immunome
Type 1 T helper cell	CD70	Adaptive	Immunome
Type 1 T helper cell	TBX21	Adaptive	Immunome
Type 1 T helper cell	ADAM8	Adaptive	Immunome
Type 1 T helper cell	AHCYL2	Adaptive	Immunome
Type 1 T helper cell	ALCAM	Adaptive	Immunome
Type 1 T helper cell	B3GALNT1	Adaptive	Immunome
Type 1 T helper cell	BBS12	Adaptive	Immunome
Type 1 T helper cell	BST1	Adaptive	Immunome
Type 1 T helper cell	CD151	Adaptive	Immunome
Type 1 T helper cell	CD47	Adaptive	Immunome
Type 1 T helper cell	CD48	Adaptive	Immunome
Type 1 T helper cell	CD52	Adaptive	Immunome
Type 1 T helper cell	CD53	Adaptive	Immunome
Type 1 T helper cell	CD59	Adaptive	Immunome
Type 1 T helper cell	CD6	Adaptive	Immunome
Type 1 T helper cell	CD68	Adaptive	Immunome
Type 1 T helper cell	CD7	Adaptive	Immunome
Type 1 T helper cell	CD96	Adaptive	Immunome
Type 1 T helper cell	CFHR3	Adaptive	Immunome
Type 1 T helper cell	CHRM3	Adaptive	Immunome
Type 1 T helper cell	CLEC7A	Adaptive	Immunome
Type 1 T helper cell	COL23A1	Adaptive	Immunome
Type 1 T helper cell	COL4A4	Adaptive	Immunome
Type 1 T helper cell	COL5A3	Adaptive	Immunome
Type 1 T helper cell	DAB1	Adaptive	Immunome
Type 1 T helper cell	DLEU7	Adaptive	Immunome
Type 1 T helper cell	DOC2B	Adaptive	Immunome
Type 1 T helper cell	EMP1	Adaptive	Immunome
Type 1 T helper cell	F12	Adaptive	Immunome
Type 1 T helper cell	FURIN	Adaptive	Immunome
Type 1 T helper cell	GAB3	Adaptive	Immunome
Type 1 T helper cell	GATM	Adaptive	Immunome
Type 1 T helper cell	GFPT2	Adaptive	Immunome
Type 1 T helper cell	GPR25	Adaptive	Immunome
Type 1 T helper cell	GREM2	Adaptive	Immunome
