TERM	SYMBOL	CATEGORY	LIST
Th1 cells	IL12RB2		Senbabaoglu
Th1 cells	APBB2		Senbabaoglu
Th1 cells	LTA		Senbabaoglu
Th1 cells	DPP4		Senbabaoglu
Th1 cells	ZBTB32		Senbabaoglu
Th1 cells	HBEGF		Senbabaoglu
Th1 cells	LTA		Senbabaoglu
Th1 cells	SGCB		Senbabaoglu
Th1 cells	DUSP5		Senbabaoglu
Th1 cells	LTA		Senbabaoglu
Th1 cells	CD38		Senbabaoglu
Th1 cells	BST2		Senbabaoglu
Th1 cells	LTA		Senbabaoglu
Th1 cells	CD70		Senbabaoglu
Th1 cells	APOD		Senbabaoglu
Th2 cells	SMAD2		Senbabaoglu
Th2 cells	SNRPD1		Senbabaoglu
Th2 cells	DHFR		Senbabaoglu
Th2 cells	IL26		Senbabaoglu
Th2 cells	MICAL2		Senbabaoglu
Th2 cells	GSTA4		Senbabaoglu
Th2 cells	ANK1		Senbabaoglu
Th2 cells	AHI1		Senbabaoglu
Th2 cells	PHEX		Senbabaoglu
Th2 cells	NEIL3		Senbabaoglu
Th2 cells	PTGIS		Senbabaoglu
Th2 cells	LIMA1		Senbabaoglu
Th2 cells	GATA3		Senbabaoglu
Th2 cells	HELLS		Senbabaoglu
Th2 cells	CENPF		Senbabaoglu
Th2 cells	MB		Senbabaoglu
Th2 cells	SLC39A14		Senbabaoglu
Th2 cells	PMCH		Senbabaoglu
Th2 cells	CXCR6		Senbabaoglu
Th2 cells	CDC25C		Senbabaoglu
Th2 cells	ADCY1		Senbabaoglu
Th2 cells	CDC7		Senbabaoglu
Th2 cells	EVI5		Senbabaoglu
Th2 cells	BIRC5		Senbabaoglu
Th2 cells	LAIR2		Senbabaoglu
Th2 cells	WDHD1		Senbabaoglu
Th2 cells	LAIR2		Senbabaoglu
Th2 cells	LAIR2		Senbabaoglu
Th2 cells	LAIR2		Senbabaoglu
T helper cells	SRSF10		Senbabaoglu
T helper cells	NAP1L4		Senbabaoglu
T helper cells	LRBA		Senbabaoglu
T helper cells	FAM111A		Senbabaoglu
T helper cells	ATF2		Senbabaoglu
T helper cells	SRSF10		Senbabaoglu
T helper cells	SLC25A12		Senbabaoglu
T helper cells	ITM2A		Senbabaoglu
T helper cells	NUP107		Senbabaoglu
T helper cells	PHF10		Senbabaoglu
T helper cells	GOLGA8A		Senbabaoglu
T helper cells	CD28		Senbabaoglu
T helper cells	ICOS		Senbabaoglu
T helper cells	YME1L1		Senbabaoglu
T helper cells	UBE2L3		Senbabaoglu
T helper cells	BORA		Senbabaoglu
T helper cells	PPP2R5C		Senbabaoglu
T helper cells	SEC24C		Senbabaoglu
T helper cells	FRYL		Senbabaoglu
T helper cells	ASF1A		Senbabaoglu
T helper cells	DDX50		Senbabaoglu
T helper cells	ANP32B		Senbabaoglu
T helper cells	RPA1		Senbabaoglu
T helper cells	BATF		Senbabaoglu
Treg cells	FOXP3		Senbabaoglu
Treg cells	FOXP3		Senbabaoglu
